,year_ceremony,category,film,name,cca
1,1995,Actor in a Supporting Role,Mighty Aphrodite,Mira Sorvino,Winner
2,1996,Actor in a Supporting Role,The Crucible,Joan Allen,Winner
3,1997,Actor in a Supporting Role,In & Out,Joan Cusack,Winner
4,1998,Actor in a Supporting Role,Pleasantville,Joan Allen ,Winner
5,1998,Actor in a Supporting Role,Primary Colors,Kathy Bates ,Winner
6,1999,Actor in a Supporting Role,"Girl, Interrupted",Angelina Jolie,Winner
7,2000,Actor in a Supporting Role,Almost Famous,Frances McDormand,Winner
8,2000,Actor in a Supporting Role,Wonder Boys,Frances McDormand,Winner
9,2001,Actor in a Supporting Role,A Beautiful Mind,Jennifer Connelly,Winner
10,2001,Actor in a Supporting Role,Vanilla Sky,Cameron Diaz,Nominee
11,2001,Actor in a Supporting Role,In the Bedroom,Marisa Tomei,Nominee
12,2002,Actor in a Supporting Role,Chicago,Catherine Zeta-Jones,Winner
13,2002,Actor in a Supporting Role,About Schmidt,Kathy Bates,Nominee
14,2002,Actor in a Supporting Role,Adaptation.,Meryl Streep,Nominee
15,2003,Actor in a Supporting Role,Cold Mountain,Renée Zellweger,Winner
16,2003,Actor in a Supporting Role,Pieces of April,Patricia Clarkson,Nominee
17,2003,Actor in a Supporting Role,Mystic River,Marcia Gay Harden,Nominee
18,2003,Actor in a Supporting Role,Thirteen,Holly Hunter,Nominee
19,2003,Actor in a Supporting Role,Lost in Translation,Scarlett Johansson,Nominee
20,2004,Actor in a Supporting Role,Sideways,Virginia Madsen,Winner
21,2004,Actor in a Supporting Role,The Aviator,Cate Blanchett,Nominee
22,2004,Actor in a Supporting Role,Kinsey,Laura Linney,Nominee
23,2004,Actor in a Supporting Role,Closer,Natalie Portman,Nominee
24,2004,Actor in a Supporting Role,Finding Neverland,Kate Winslet,Nominee
25,2005,Actor in a Supporting Role,Junebug,Amy Adams ,Winner
26,2005,Actor in a Supporting Role,Brokeback Mountain,Michelle Williams ,Winner
27,2005,Actor in a Supporting Role,A History of Violence,Maria Bello,Nominee
28,2005,Actor in a Supporting Role,Capote,Catherine Keener,Nominee
29,2005,Actor in a Supporting Role,North Country,Frances McDormand,Nominee
30,2005,Actor in a Supporting Role,The Constant Gardener,Rachel Weisz,Nominee
31,2006,Actor in a Supporting Role,Dreamgirls,Jennifer Hudson,Winner
32,2006,Actor in a Supporting Role,Babel,Adriana Barraza,Nominee
33,2006,Actor in a Supporting Role,Babel,Rinko Kikuchi,Nominee
34,2006,Actor in a Supporting Role,Notes on a Scandal,Cate Blanchett,Nominee
35,2006,Actor in a Supporting Role,For Your Consideration,Catherine O'Hara,Nominee
36,2006,Actor in a Supporting Role,Stranger than Fiction,Emma Thompson,Nominee
37,2007,Actor in a Supporting Role,Gone Baby Gone,Amy Ryan,Winner
38,2007,Actor in a Supporting Role,I'm Not There,Cate Blanchett,Nominee
39,2007,Actor in a Supporting Role,Into the Wild,Catherine Keener,Nominee
40,2007,Actor in a Supporting Role,Atonement,Vanessa Redgrave,Nominee
41,2007,Actor in a Supporting Role,Michael Clayton,Tilda Swinton,Nominee
42,2008,Actor in a Supporting Role,The Reader,Kate Winslet,Winner
43,2008,Actor in a Supporting Role,Vicky Cristina Barcelona,Penélope Cruz,Nominee
44,2008,Actor in a Supporting Role,Doubt,Viola Davis,Nominee
45,2008,Actor in a Supporting Role,Nothing but the Truth,Vera Farmiga,Nominee
46,2008,Actor in a Supporting Role,The Curious Case of Benjamin Button,Taraji P. Henson,Nominee
47,2008,Actor in a Supporting Role,The Wrestler,Marisa Tomei,Nominee
48,2009,Actor in a Supporting Role,Precious,Mo'Nique,Winner
49,2009,Actor in a Supporting Role,Nine,Marion Cotillard,Nominee
50,2009,Actor in a Supporting Role,Up in the Air,Vera Farmiga,Nominee
51,2009,Actor in a Supporting Role,Up in the Air,Anna Kendrick,Nominee
52,2009,Actor in a Supporting Role,A Single Man,Julianne Moore,Nominee
53,2009,Actor in a Supporting Role,The Messenger,Samantha Morton,Nominee
54,2010,Actor in a Supporting Role,The Fighter,Melissa Leo,Winner
55,2010,Actor in a Supporting Role,The King's Speech,Helena Bonham Carter,Nominee
56,2010,Actor in a Supporting Role,Black Swan,Mila Kunis,Nominee
57,2010,Actor in a Supporting Role,The Fighter,Amy Adams,Winner
58,2010,Actor in a Supporting Role,True Grit,Hailee Steinfeld,Nominee
59,2010,Actor in a Supporting Role,Animal Kingdom,Jacki Weaver,Nominee
60,2011,Actor in a Supporting Role,The Help,Octavia Spencer,Winner
61,2011,Actor in a Supporting Role,The Artist,Bérénice Bejo,Nominee
62,2011,Actor in a Supporting Role,The Help,Jessica Chastain,Winner
63,2011,Actor in a Supporting Role,Shame,Carey Mulligan,Nominee
64,2011,Actor in a Supporting Role,Bridesmaids,Melissa McCarthy,Nominee
65,2011,Actor in a Supporting Role,The Descendants,Shailene Woodley,Nominee
66,2012,Actor in a Supporting Role,Les Misérables,Anne Hathaway,Winner
67,2012,Actor in a Supporting Role,The Master,Amy Adams,Nominee
68,2012,Actor in a Supporting Role,Skyfall,Judi Dench,Nominee
69,2012,Actor in a Supporting Role,Compliance,Ann Dowd,Nominee
70,2012,Actor in a Supporting Role,Lincoln,Sally Field,Nominee
71,2012,Actor in a Supporting Role,The Sessions,Helen Hunt,Nominee
72,2013,Actor in a Supporting Role,12 Years a Slave,Lupita Nyong'o,Winner
73,2013,Actor in a Supporting Role,Her,Scarlett Johansson,Nominee
74,2013,Actor in a Supporting Role,American Hustle,Jennifer Lawrence,Nominee
75,2013,Actor in a Supporting Role,August: Osage County,Julia Roberts,Nominee
76,2013,Actor in a Supporting Role,Nebraska,June Squibb,Nominee
77,2013,Actor in a Supporting Role,The Butler,Oprah Winfrey,Nominee
78,2014,Actor in a Supporting Role,Boyhood,Patricia Arquette,Winner
79,2014,Actor in a Supporting Role,A Most Violent Year,Jessica Chastain,Nominee
80,2014,Actor in a Supporting Role,The Imitation Game,Keira Knightley,Nominee
81,2014,Actor in a Supporting Role,Birdman,Emma Stone,Nominee
82,2014,Actor in a Supporting Role,Into the Woods,Meryl Streep,Nominee
83,2014,Actor in a Supporting Role,Snowpiercer,Tilda Swinton,Nominee
84,2015,Actor in a Supporting Role,The Danish Girl,Alicia Vikander,Winner
85,2015,Actor in a Supporting Role,The Hateful Eight,Jennifer Jason Leigh,Nominee
86,2015,Actor in a Supporting Role,Carol,Rooney Mara,Nominee
87,2015,Actor in a Supporting Role,Spotlight,Rachel McAdams,Nominee
88,2015,Actor in a Supporting Role,Trumbo,Helen Mirren,Nominee
89,2015,Actor in a Supporting Role,Steve Jobs,Kate Winslet,Nominee
90,2016,Actor in a Supporting Role,Fences,Viola Davis,Winner
91,2016,Actor in a Supporting Role,20th Century Women,Greta Gerwig,Nominee
92,2016,Actor in a Supporting Role,Moonlight,Naomie Harris,Nominee
93,2016,Actor in a Supporting Role,Lion,Nicole Kidman,Nominee
94,2016,Actor in a Supporting Role,Hidden Figures,Janelle Monáe,Nominee
95,2016,Actor in a Supporting Role,Manchester by the Sea,Michelle Williams,Nominee
96,2017,Actor in a Supporting Role,"I, Tonya",Allison Janney,Winner
97,2017,Actor in a Supporting Role,Mudbound,Mary J. Blige,Nominee
98,2017,Actor in a Supporting Role,Downsizing,Hong Chau,Nominee
99,2017,Actor in a Supporting Role,Girls Trip,Tiffany Haddish,Nominee
100,2017,Actor in a Supporting Role,The Big Sick,Holly Hunter,Nominee
101,2017,Actor in a Supporting Role,Lady Bird,Laurie Metcalf,Nominee
102,2017,Actor in a Supporting Role,The Shape of Water,Octavia Spencer,Nominee
103,2018,Actor in a Supporting Role,If Beale Street Could Talk,Regina King,Winner
104,2018,Actor in a Supporting Role,Vice,Amy Adams,Nominee
105,2018,Actor in a Supporting Role,First Man,Claire Foy,Nominee
106,2018,Actor in a Supporting Role,Boy Erased,Nicole Kidman,Nominee
107,2018,Actor in a Supporting Role,The Favourite,Emma Stone,Nominee
108,2018,Actor in a Supporting Role,The Favourite,Rachel Weisz,Nominee
109,2019,Actor in a Supporting Role,Marriage Story,Laura Dern,Winner
110,2019,Actor in a Supporting Role,Jojo Rabbit,Scarlett Johansson,Nominee
111,2019,Actor in a Supporting Role,Hustlers,Jennifer Lopez,Nominee
112,2019,Actor in a Supporting Role,Little Women,Florence Pugh,Nominee
113,2019,Actor in a Supporting Role,Bombshell,Margot Robbie,Nominee
114,2019,Actor in a Supporting Role,The Farewell,Zhao Shu-zhen,Nominee
115,2020,Actor in a Supporting Role,Borat Subsequent Moviefilm,Maria Bakalova,Winner
116,2020,Actor in a Supporting Role,Pieces of a Woman,Ellen Burstyn,Nominee
117,2020,Actor in a Supporting Role,Hillbilly Elegy,Glenn Close,Nominee
118,2020,Actor in a Supporting Role,The Father,Olivia Colman,Nominee
119,2020,Actor in a Supporting Role,Mank,Amanda Seyfried,Nominee
120,2020,Actor in a Supporting Role,Minari,Youn Yuh-jung,Nominee
121,2021,Actor in a Supporting Role,West Side Story,Ariana DeBose,Winner
122,2021,Actor in a Supporting Role,Belfast,Caitríona Balfe,Nominee
123,2021,Actor in a Supporting Role,The Power of the Dog,Kirsten Dunst,Nominee
124,2021,Actor in a Supporting Role,Mass,Ann Dowd,Nominee
125,2021,Actor in a Supporting Role,King Richard,Aunjanue Ellis,Nominee
126,2021,Actor in a Supporting Role,West Side Story,Rita Moreno,Winner
127,2022,Actor in a Supporting Role,Black Panther: Wakanda Forever,Angela Bassett,Winner
128,2022,Actor in a Supporting Role,Women Talking,Jessie Buckley,Nominee
129,2022,Actor in a Supporting Role,The Banshees of Inisherin,Kerry Condon,Nominee
130,2022,Actor in a Supporting Role,Everything Everywhere All at Once,Jamie Lee Curtis,Nominee
131,2022,Actor in a Supporting Role,Everything Everywhere All at Once,Stephanie Hsu,Nominee
132,2022,Actor in a Supporting Role,Glass Onion: A Knives Out Mystery,Janelle Monáe,Nominee
